Switching  OFF... | API
Switching HEATH LAMP ON... | API
Switching HEATH LAMP OFF... | API
Switching HEATH LAMP ON... | API
Switching HEATH LAMP off... | 192.168.1.102
Switching HEATH LAMP on... | 192.168.1.102
Switching HEATH LAMP off... | 192.168.1.102
Switching HEATH LAMP on... | 192.168.1.102
Switching HEATH LAMP OFF... | API
Switching HEATH LAMP ON... | API
Repopulating WeMo list... | 192.168.1.102
Switching Bedroom Wemo off... | 192.168.1.102
Switching Bedroom Wemo off... | 192.168.1.102
Switching Bedroom Wemo on... | 192.168.1.102
Switching HEATH LAMP OFF... | API
Switching HEATH LAMP ON... | API
