top - 23:28:07 up 0 min,  0 users,  load average: 2.88, 0.72, 0.24
Tasks:  93 total,   3 running,  90 sleeping,   0 stopped,   0 zombie
%Cpu(s): 40.3 us, 52.4 sy,  0.1 ni,  0.4 id,  4.2 wa,  1.2 hi,  1.4 si,  0.0 st
KiB Mem:    496632 total,   100776 used,   395856 free,    10720 buffers
KiB Swap:   102396 total,        0 used,   102396 free,    38332 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 2281 root      20   0 13660 9392 3160 R  64.5  1.9   0:02.39 python
 2090 www-data  20   0 25008 6408 2432 R  58.9  1.3   0:02.61 apache2
 2275 root      20   0 34928 6420 2944 S   7.9  1.3   0:01.06 python
 2250 root      20   0  1696  560  472 S   6.8  0.1   0:00.37 startpar
 2279 www-data  20   0 24648 5800 2136 S   6.8  1.2   0:00.36 apache2
 2087 www-data  20   0 24648 5756 2116 S   4.5  1.2   0:00.49 apache2
    6 root      20   0     0    0    0 S   3.4  0.0   0:00.43 kworker/u2:0
 2307 root      39  19  3008 1100  828 R   3.4  0.2   0:00.09 top
   38 root      20   0     0    0    0 S   2.3  0.0   0:00.14 kworker/u2:2
   39 root      20   0     0    0    0 S   2.3  0.0   0:00.67 mmcqd/0
 2274 www-data  20   0 24648 5756 2116 S   2.3  1.2   0:00.30 apache2
    1 root      20   0  2148  720  616 S   1.1  0.1   0:01.86 init
    7 root      20   0     0    0    0 S   1.1  0.0   0:00.32 rcu_preempt
 2262 root      20   0  3088 1416 1156 S   1.1  0.3   0:00.08 sudo
 2263 root       9 -11  1872  456  356 S   1.1  0.1   0:00.09 cpulimit
 2265 root       9 -11  1872  456  356 S   1.1  0.1   0:00.09 cpulimit
 2267 root       9 -11  1872  456  356 S   1.1  0.1   0:00.09 cpulimit
    2 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0     0    0    0 S   0.0  0.0   0:00.15 ksoftirqd/0
    4 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0
    5 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kworker/0:0H
    8 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      20   0     0    0    0 S   0.0  0.0   0:00.00 rcu_sched
   10 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 khelper
   11 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kdevtmpfs
   12 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 netns
   13 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 writeback
   14 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 bioset
   15 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 crypto
   16 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kblockd
   17 root      20   0     0    0    0 S   0.0  0.0   0:00.27 khubd
   18 root      20   0     0    0    0 S   0.0  0.0   0:00.07 kworker/0:1
   19 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 rpciod
   20 root      20   0     0    0    0 S   0.0  0.0   0:00.00 khungtaskd
   21 root      20   0     0    0    0 S   0.0  0.0   0:00.00 kswapd0
   22 root      20   0     0    0    0 S   0.0  0.0   0:00.00 fsnotify_mark
   23 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 nfsiod
   29 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 kthrotld
   30 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQ-0
   31 root       1 -19     0    0    0 S   0.0  0.0   0:00.00 VCHIQr-0
   32 root       0 -20     0    0    0 S   0.0  0.0   0:00.00 VCHIQs-0
